Text,Original_summary,Predicted_summary,Semantic_similarity,bleu,rouge_1_f,rouge_2_f,rouge_l_f
usbased startup wright electric unveiled plans build electric passenger planes short flights next de proposed seater batterypowered plane would rival boeing cover distances km wright electric backed startup accelerator combinator also announced potential partnership budget british airline easyjet build plane,startup unveils plan seater electric passenger plane, usbased startup wright electric unveiled plans build electric passenger planes short flights next de proposed,0.7631496787071228,1.0881585058887664e-231,0.2727272683884298,0.09999999580000019,0.28571428126984133
pm narendra modi tuesday inrated first phase crore saurashtra narmada avtaran irrigation sauni project gujarats jamnagar project nearly dams reservoirs rajkot jamnagar morbi would filled water narmada river fourphased project expected completed said gujarat cm vijay rupani,pm inrates st phase sauni project gujarat, Inrated first phase crore saurashtra narmada avtaran irrigation sauni,0.5705896019935608,1.2395288183339461e-231,0.24999999507812506,0.0,0.24999999507812506
trailer themma watson tom hanks starrer american sciencefiction drama film circle released directed james ponsoldt film based name dave eggers also starring john boyega karen gillan among others film scheduled released l,trailer themma watsons circle released, american science fiction drama film circle released directed james ponsoldt film based,0.27378931641578674,1.1326985602301802e-231,0.23529411349480975,0.13333332942222234,0.2499999957031251
ahead assthembly polls punjab chief minister parkash singh badal tuesday asserted state would share even drop water states government accept ruling court sharing river water via sutlejyamuna link canal allow punjabis die hunger badal asserted,wont share even drop water states, Punjab chief minister parkash singh singh badal asserted state would share even,0.19348803162574768,1.1567024751140949e-231,0.22222221777777784,0.12499999570312517,0.23529411307958487
centre released crore states mahatma gandhi national rural themployment guarantee act parliament informed monday amount given statesuts cover previous fiscals liabilities running programme minister state rural development ram kripal yadav said written reply,centre released cr mgnrega year, Centre released crore states in crore states . Centre said amount given statesuts cover previous f,0.34366869926452637,1.0749662678465409e-231,0.09999999625000015,0.0,0.11764705467128042
darjeeling himalayan railway set preserved posterity official said unesco indian railways working comprehensive conservation managthement plan regard guidelines prepared maintaining railway asias first industrial heritage site inscribed unescos world heritage list,darjeeling himalayan railway preserved, darjeeling himalayan railway set preserved posterity posterity official said un,0.750612199306488,1.236938357325375e-231,0.5714285673469389,0.33333332958333334,0.6153846111242604
us presidentelect donald trump sunday said drop economic sanctions russia return nuclear arms reduction deal russian president vladimir putin russia around nuclear warheads deployed strategic missiles bombers nearly us sanctions imposed russia annexing crimea force,lift russian sanctions nuke reduction deal trump, us presidentelect donald trump sunday said drop economic sanctions . russia return nuclear,0.5689759850502014,1.160835792061153e-231,0.2105263111357342,0.0,0.10526315324099744
ringing bells ceo mohit goel maker android sphone freedom seeking crore government cover companys losses goel says money ensure indias million people become part digital india initiative owning sphone sphones shipments scheduled start,freedom seeks crore government, goel maker android maker android sphone seeking crore government cover companies' losses .,0.277366578578949,1.1200407237786664e-231,0.24999999625000005,0.14285713948979603,0.2857142816326531
dow jones industrial average index broke milestone wednesday morning first time ever came amid infrastructure stocks rising sharply following us president donald trumps renewed pledge build wall along mexican border following trump post twitter said great dowk,dow jones surges first time trump rally, infrastructure stocks rose sharply following us president donald trumps renewed pledge build wall along me,0.3286992311477661,1.1667572425498874e-231,0.0,0.0,0.0
bank investments private corporate bonds hit alltime high lakh crore fortnight ended thember rbi data stated moreover fresh corporate debt issuance quarter ended thember also hit record high lakh crore data added notably banks earlier reported deposits worth lakh crore first time ever,investment private corp bonds record high cr, bank investments private corporate bonds hit alltime high lakh crore fortnight ended thember rbi,0.7230250835418701,1.1787660533277237e-231,0.28571428126984133,0.0,0.28571428126984133
themployees provident fund epf appellate tribunal issued fresh arrest warrant epfos central provident fund commissioner vp joy failed appear tribunal earlier issued warrant joy got stay delhi high court assuring would appear tribunal may,fresh arrest warrant issued epfo chief, themployees provident fund epf appellate tribunal issued fresh arrest warrant . themploy,0.6652093529701233,1.1673030940407554e-231,0.4705882307266437,0.2666666622222223,0.3529411719031142
twitter investor rizvi traverse managthement managed suhail rizvi halved stake microblogging platform private equity firm held stake twitter time ipo interestingly firm also increased holding jack dorseyled square,investor rizvi halves stake twitter, microblogging platform private equity firm held stake twitter time ipo . Private equity firm,0.45503219962120056,1.1348007008406824e-231,0.2222222182098766,0.12499999625000012,0.2499999957031251
aap national convener arvind kejriwal monday dared punjab congress chief captain ander singh take court allegations familys swiss bank accounts true challenge file court case telling lies said kejriwal dared pm narendra modi probe ander singhs bank accounts,kejriwal dares ander singh take court, aap national convener arvind kejriwal monday dared punjab congress chief captain,0.7032461166381836,1.2508498911928379e-231,0.11764705425605555,0.0,0.11764705425605555
taliban named mullah haibatullah akhunzada new chief confirmed death former leader mullah akhtar mansour statthement wednesday militant organisations first acknowledgthement mansours death american airstrike pakistan last week mansour appointed similar circumstances taliban founder mullah mohammad os death,haibatullah akhunzada named new taliban leader, taliban named mullah haibatullah akhunzada new chief confirmed,0.9449254870414734,1.2933116267539535e-231,0.7142857093877552,0.1666666618055557,0.4285714236734694
indias current captain virat kohli said former captain ms dhoni intelligent cricketer around would like take advice taking drs sion review systthem think bat lot freedom assurance wont think twice attthempting big shot kohli said dhoni,dhoni intelligent cricketer around kohli, Indias current captain virat kohli said former captain ms dhoni intelligent cr,0.7080108523368835,1.2026087669402348e-231,0.3529411723183391,0.13333332942222234,0.2499999957031251
haryana gau seva aayog sent bjpled state government proposal impose levy banquet halls statemanaged tthemples donations cess entertainment tax among others raising funds welfare cows the proposals underconsideration officials said earlier imposition similar cow cess also dthemanded punjab,proposal levy cow cess sent haryana govt, haryana gau seva aayog sent bjpled state government proposal impose,0.5384864807128906,1.227193663866655e-231,0.3529411716262976,0.0,0.11764705397923896
actress priyanka chopra said accent global accent recent appearance talk show late show stephen colbert gave response host colbert said way saying dancing elegant priyanka added people think accent confused iim sure anymore isnnn,accent global accent priyanka chopra, actress priyanka chopra said accent global accent . recent appearance talk show late show,0.6653400659561157,1.1829807887182168e-231,0.55555555154321,0.3749999962500001,0.26666666275555556
germanys angelique kerber advanced second wimbledon sthemifinal defeating romanias simona halep tuesday match lasted hour minutes witnessed total breaks service kerber australian open champion set face fivetime wimbledon champion venus williams sthemifinal clash thursday,kerber beats halep reach wimbledon sthemifinal, angelique kerber advanced second wimbledon sthemifinal defeating romanias,0.7383966445922852,1.2794358628081968e-231,0.4285714236734694,0.1666666618055557,0.4285714236734694
according book former facebook themployee antonio garcia inez companys ceo zuckerberg announced themergency meeting ared lockdown day google plus launched inez claims zuckerberg hinted product changes counter googles new product speech inez also called zuckerbergs speech aloof geekspeak borderline psychopathic,locked fb google launch report, According book former facebook themployee antonio garcia inez claims zucker,0.22273437678813934,1.2529021538616867e-231,0.0,0.0,0.0
ibtihaj muhammad became first american athlete compete olympics wearing hijab revealed detained us customs two hours airport last month following trumps immigration ban even though represent team usa olympic hardware doesnt change look people perceive said ibtihaj,us first hijabclad olympian detained american airport, ibtihaj muhammad became first american athlete compete olympics wearing hijab,0.5880569219589233,1.2964094013418962e-231,0.23529411280276827,0.0,0.23529411280276827
following indian shuttler pv sindhus silver medal finish rio olympics friday users searching pv sindhu caste google typing pv sindhu googles search box pv sindhu caste appears fifth search suggestion list googles search statistics show search queries sindhus casteidentity began sthemifinal win rio,pv sindhu caste googled post rio win, pv sindhu caste appears fifth search suggestion list googles search statistics show,0.5251109600067139,1.2395288183339461e-231,0.31578946903047095,0.23529411307958487,0.3333333285802469
india united states thursday signed mthemorandum understanding mou improve cooperation energy security clean energy climate change mou lists usindia partnerships energy cities climate resilience among others priority initiatives mou signed power ministry secretary pk pujari us ambassador india richard verma,india us sign mou energy security climate, india united states thursday signed mthemorandum understanding mou improve cooperation energy,0.6782346963882446,1.1514608460453357e-231,0.3333333285802469,0.0,0.3333333285802469
push research intion hrd minister prakash javadekar tuesday unveiled paramishan supercomputer iit guwahati supercomputer power teraflops capacity terabytes calling iits modern tthemples development javadekar said nations potential growth evaluated quality research development,paramishan supercomputer unveiled iit guwahati, Hrd minister prakash javadekar unveiled paramishan supercomputer i,0.7131770849227905,1.2930099093353942e-231,0.4615384568047337,0.18181817719008275,0.3076923029585799
industrialist ajay piramal leads piramal group head ukindia ceo forum replacing ousted tata sons chairman cyrus mistry reports stated forum slated meet uk pm theresa mays visit mber piramal among tata sons directors reportedly voted favour mistrys rthemoval chairman,piramal replaces mistry induk ceo forums head report, forum slated to replace ousted tata sons chairman cyrus mistry as chairman . forum,0.42973554134368896,1.243245588134688e-231,0.0952380905215422,0.0,0.1052631530193908
jindal steel amp power limited jspl thursday said missed payment interest worth crore due last month bonds making third lapse since thember firm owed shortterm cash flow mismatches said money paid due course,jspl misses interest payments rd time since, Jindal steel amp power limited said missed payment interest worth crore due last month bonds making third,0.6375290155410767,1.0982820006471467e-231,0.08333332920138908,0.0,0.08333332920138908
delhi government implthement punjabs seechewal model river cleaning yamuna states water minister kapil mishra said monday model used revive punjabs kali bein rivulet involves ecofriendly natural processes treat wastewater sewage delhi jal board formulated plan based model clean yamuna river mishra added,delhi use seechewal model clean yamuna, delhi government implthement punjabs seechewal model river cleaning y,0.6543031930923462,1.2395288183339461e-231,0.39999999520000007,0.1538461491124262,0.39999999520000007
us agreed pay million approximately crore family italian aid worker killed us drone strike pakistan worker held hostage alqaeda accidentally killed counterterrorism mission earlier us admitted killing civilians air strikes,us pay mn family italian killed drone, italian aid worker killed us drone strike pakistan worker held hostage alqaeda,0.3652515709400177,1.1820437734970053e-231,0.4210526269252078,0.0,0.3333333285802469
th edition international indian film acadthemy iifa awards kickstarted madrid spain thursday actors including priyanka chopra salman khan deepika padukone hrithik roshan sonakshi sinha shahid kapoor farhan akhtar attended event year iifa awards fourday event go till,pictures iifa kickstarts spain, th edition international indian film acadthemy iifa awards kickstarted madrid sp,0.37196263670921326,1.1302704678971024e-231,0.13333332942222234,0.0,0.13333332942222234
world number three womens tennis player agnieszka radwanska successfully pulled betweenthelegs shot also called tweener first round match polands tsvetana pironkova australian open tuesday second set radwanska ran back towards service line recover lob hit shot legs back facing pironkova,radwanska pulls betweenthelegs shot australian open, Agnieszka radwanska successfully pulled betweenthelegs,0.527328372001648,1.3584069082388692e-231,0.36363635867768596,0.0,0.36363635867768596
militants loyal islamic state friday set residential houses fire kot district afghanistans nangarhar province according reports locals vacated houses attack reports casualty reports added isis affiliate wilayat khorasan controls populated areas afghanistans nangarhar province,isis militants set houses fire afghanistan, militants loyal islamic state friday set residential houses fire kot district afghan,0.8202894330024719,1.1808001696991507e-231,0.44444444000000005,0.12499999570312517,0.44444444000000005
twitters chinese clone weibo worth twitter et cap billion compared twitters billion weibo made ipo valuation billion twitter valued billion twitter lost million monthly active users year weibo gained million new users last year,twitter worth less chinese clone weibo, twitters chinese clone weibo worth twitter et cap billion compared to twitters billion,0.7455312013626099,1.1326985602301802e-231,0.5263157851523547,0.23529411349480975,0.3529411719031142
delhis anticorruption branch acb summoned former delhi waqf board chairman amanatullah khan friday appear connection alleged recruitment scam body lieutenant governor najeeb earlier dissolved board constituted aap government quashed appointments made khan however khan said acb targeting,exdelhi waqf board head summoned recruitment scam, delhis anticorruption branch acb summoned former delhi waqf board chairman,0.6786960959434509,1.2925025480804697e-231,0.3529411716262976,0.1333333285333335,0.23529411280276827
railway workers hand got stuck coffee machine board virgin train earlier week delaying journey rugby london minutes worker released using hydraulic cutting equipment taken hospital treated minor injuries cuts hand,mans hand stuck coffee machine delays train, railway workers hand got stuck coffee machine board virgin train earlier week delaying journey . railway workers,0.8862432241439819,1.1509510115851089e-231,0.43478260446124767,0.19047618639455788,0.47619047174603185
